,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
964,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1200.0,735.0,,,,,229.0,,,
965,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1200.0,506.0,,,,,250.0,,,
966,Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1200.0,324.0,,,,,177.0,,,
967,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,1200.0,102.0,,,,,101.0,,,
968,Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,1200.0,61.0,,,,,94.0,,,
980,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,245.48,7.753,8.0,,T,25.0,293.1,625.6,63.0,,,220.0,,,
981,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,40.0,,9.9,,T,25.0,985.0,1004.0,15.7,,,107.0,,,
982,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,87.0,,9.9,,T,25.0,972.0,999.5,12.6,,,107.0,,,
983,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,112.0,,9.9,,T,25.0,967.0,980.6,10.8,,,107.0,,,
984,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.5,,T,25.0,,,15.0,,,207.0,,,
985,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,42.0,,8.5,,T,25.0,276.0,540.0,51.0,,,207.0,,,
986,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,74.0,,8.5,,T,25.0,217.0,498.0,47.0,,,207.0,,,
987,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,90.0,,8.5,,T,25.0,201.0,430.0,44.5,,,207.0,,,
992,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,25.0,1719.0,,,,,128.0,,,
993,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,53.7,,8.5,,T,25.0,,,,,161.0,207.0,,,
994,Co1 Cr0.053 Ni1,FCC,WROUGHT,FCC,7.28,,8.8,,T,25.0,,,,,219.0,207.0,,,
995,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.862,,8.1,,T,25.0,529.0,613.0,25.0,,182.0,203.0,,,
996,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.894,,8.1,,T,25.0,522.0,601.0,25.0,,182.0,203.0,,,
997,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.25,,8.1,,T,25.0,460.0,599.0,27.0,,182.0,203.0,,,
998,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.75,,8.1,,T,25.0,407.0,536.0,26.0,,182.0,203.0,,,
999,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,2.26,,8.1,,T,25.0,372.0,542.0,31.0,,182.0,203.0,,,
1000,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,3.52,,8.1,,T,25.0,322.0,554.0,49.0,,182.0,203.0,,,
1001,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,1.43,,8.4,,T,25.0,333.0,569.0,40.0,,190.0,202.0,,,
1002,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,0.4,,8.4,,T,25.0,601.0,608.0,24.0,,190.0,202.0,,,
1003,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,1.58,,8.4,,T,25.0,321.0,566.0,50.5,,190.0,202.0,,,
1004,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,2.67,,8.4,,T,25.0,267.0,506.0,62.5,,190.0,202.0,,,
1005,Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,0.212,,8.7,,T,25.0,745.0,824.0,36.0,,223.0,213.0,,,
1006,Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,0.34,,8.7,,T,25.0,623.0,746.0,53.0,,223.0,213.0,,,
1007,Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,1.46,,8.7,,T,25.0,387.0,626.0,73.0,,223.0,213.0,,,
1008,Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,2.65,,8.7,,T,25.0,330.0,553.0,101.0,,223.0,213.0,,,
1009,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.295,,8.2,,T,25.0,631.0,732.0,39.0,,210.0,226.0,,,
1010,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.5529999999999999,,8.2,,T,25.0,494.0,732.0,51.0,,210.0,226.0,,,
1011,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.72,,8.2,,T,25.0,448.0,672.0,65.0,,210.0,226.0,,,
1012,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,3.4,,8.2,,T,25.0,273.0,567.0,85.0,,210.0,226.0,,,
1013,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,32.2,,8.2,,T,25.0,172.0,504.0,105.0,,210.0,226.0,,,
1014,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,0.497,,8.1,,T,25.0,518.0,744.0,36.0,,240.0,238.0,,,
1015,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,0.848,,8.1,,T,25.0,462.0,703.0,46.0,,240.0,238.0,,,
1016,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,1.78,,8.1,,T,25.0,395.0,644.0,58.0,,240.0,238.0,,,
1017,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,1.98,,8.1,,T,25.0,356.0,588.0,64.0,,240.0,238.0,,,
1029,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,,T,25.0,210.0,,57.0,,,220.0,,,
1030,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,25.0,1150.0,,6.0,,,220.0,,,
1031,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,25.0,1300.0,,2.0,,,220.0,,,
1032,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,4.0,,8.0,,T,25.0,1050.0,,8.0,,,220.0,,,
1033,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,8.0,,8.0,,T,25.0,560.0,,49.0,,,220.0,,,
1034,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,8.0,,8.0,,T,25.0,520.0,,47.0,,,220.0,,,
1035,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,10.0,,8.0,,T,25.0,320.0,,59.0,,,220.0,,,
1036,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,20.0,,8.0,,T,25.0,280.0,,62.0,,,220.0,,,
1037,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,-196.0,419.0,,,34.6,,202.0,,,
1038,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,-70.0,350.0,,,28.8,,202.0,,,
1039,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,20.0,252.0,,,82.1,,202.0,,,
1040,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,600.0,214.0,,,189.2,,202.0,,,
1041,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,700.0,212.0,,,154.3,,202.0,,,
1042,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,800.0,187.0,,,119.5,,202.0,,,
1043,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,132.0,C,300.0,,,,,,210.0,,,
1044,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,147.0,C,340.0,,,,,,210.0,,,
1045,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,165.0,C,430.0,,,,,,210.0,,,
1056,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,300.0,,8.0,,,,,,,,,220.0,,,
1057,Co1 Cr1 Fe1 Mn1 Ni1,FCC,POWDER,FCC,4.2,,8.0,,,,,,,,,220.0,,,
1058,Co1 Cr1 Fe1 Mn1 Ni1,FCC,POWDER,FCC,1.3,,8.0,,,,,,,,,220.0,,,
1068,Mo1 Nb1 Re0.5 W1,BCC,CAST,BCC,,,13.7,473.0,C,25.0,896.0,,10.4,7.08,,298.0,,,
1073,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,23.0,520.0,696.0,49.0,,,185.0,,,
1074,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,600.0,470.0,561.0,11.0,,,185.0,,,
1075,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,700.0,461.0,560.0,9.0,,,185.0,,,
1076,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,800.0,445.0,536.0,6.0,,,185.0,,,
1077,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,900.0,219.0,312.0,8.0,,,185.0,,,
1078,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,23.0,627.0,1197.0,27.0,,,185.0,,,
1079,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,600.0,594.0,1006.0,12.0,,,185.0,,,
1080,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,700.0,547.0,840.0,17.0,,,185.0,,,
1081,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,800.0,399.0,575.0,20.0,,,185.0,,,
1082,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,900.0,243.0,319.0,34.0,,,185.0,,,
1083,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,8.7,,7.9,,T,25.0,401.0,717.0,49.0,,,208.0,,,
1084,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,10.4,,7.9,,T,25.0,350.0,690.0,50.0,,,208.0,,,
1085,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,11.2,,7.9,,T,25.0,312.0,660.0,51.0,,,208.0,,,
1086,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,48.2,,7.9,,T,25.0,240.0,610.0,53.0,,,208.0,,,
1087,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,FCC,82.7,,7.9,,T,25.0,210.0,593.0,52.0,,,208.0,,,
1121,Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,372.0,C,25.0,1223.0,,48.0,,,94.0,,,
1122,Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,351.0,C,25.0,1000.0,,52.0,,,89.0,,,
1123,Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,300.0,,6.5,,,,,,,,,94.0,,,
1124,Hf1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,50.0,,8.4,,,,,,,,,89.0,,,
1125,Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,,C,800.0,462.0,,51.0,,,94.0,,,
1126,Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,C,800.0,303.0,,51.0,,,89.0,,,
1127,Nb1 Ti1 Zr1,BCC,CAST,BCC,,,6.5,,C,1000.0,218.0,,51.0,,,94.0,,,
1128,Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,C,1000.0,154.0,,51.0,,,89.0,,,
1129,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,8.2,168.9,C,25.0,163.0,,80.0,,,226.0,,,
1130,Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,FCC,,,8.9,244.0,C,25.0,335.0,,52.0,,,238.0,,,
1135,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC,WROUGHT,FCC,,,7.8,107.0,T,25.0,62.0,169.0,98.0,,16.6,200.0,,,
1139,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,60.0,,9.9,,,20.0,,,,,88.9,107.0,,,
1140,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,40.0,,,,,88.6,107.0,,,
1141,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,60.0,,,,,88.4,107.0,,,
1142,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,80.0,,,,,88.1,107.0,,,
1143,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,100.0,,,,,87.9,107.0,,,
1144,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,120.0,,,,,87.7,107.0,,,
1145,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,140.0,,,,,87.5,107.0,,,
1146,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,160.0,,,,,87.3,107.0,,,
1147,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,180.0,,,,,87.1,107.0,,,
1148,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,200.0,,,,,86.9,107.0,,,
1149,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,220.0,,,,,86.7,107.0,,,
1150,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,240.0,,,,,86.5,107.0,,,
1151,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,260.0,,,,,86.3,107.0,,,
1152,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,280.0,,,,,86.1,107.0,,,
1153,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,300.0,,,,,85.8,107.0,,,
1154,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,320.0,,,,,85.5,107.0,,,
1155,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,340.0,,,,,85.2,107.0,,,
1156,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,360.0,,,,,84.9,107.0,,,
1157,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,380.0,,,,,84.5,107.0,,,
1158,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,400.0,,,,,84.2,107.0,,,
1159,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,420.0,,,,,83.8,107.0,,,
1160,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,440.0,,,,,83.5,107.0,,,
1161,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,460.0,,,,,83.1,107.0,,,
1162,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,480.0,,,,,82.7,107.0,,,
1163,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,500.0,,,,,82.3,107.0,,,
1164,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,520.0,,,,,81.9,107.0,,,
1165,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,540.0,,,,,81.6,107.0,,,
1166,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,560.0,,,,,81.3,107.0,,,
1167,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,580.0,,,,,81.0,107.0,,,
1168,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,600.0,,,,,80.7,107.0,,,
1169,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,620.0,,,,,80.4,107.0,,,
1170,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,640.0,,,,,80.2,107.0,,,
1171,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,660.0,,,,,80.0,107.0,,,
1172,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,680.0,,,,,79.8,107.0,,,
1173,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,700.0,,,,,79.6,107.0,,,
1174,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,720.0,,,,,79.3,107.0,,,
1175,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,740.0,,,,,79.0,107.0,,,
1176,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,760.0,,,,,78.7,107.0,,,
1177,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,780.0,,,,,78.4,107.0,,,
1178,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,800.0,,,,,78.1,107.0,,,
1179,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,820.0,,,,,77.7,107.0,,,
1180,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,840.0,,,,,77.4,107.0,,,
1181,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,90.0,,7.8,263.0,T,25.0,540.0,772.0,60.0,,,214.0,,,
1182,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,216.0,,7.8,185.0,,,,,,,,214.0,,,
1183,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,263.0,,7.8,197.0,,,,,,,,213.0,,,
1184,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,90.0,,7.8,308.0,T,25.0,586.0,875.0,46.0,,,213.0,,,
1185,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,90.0,,7.8,335.0,T,25.0,672.0,982.0,37.0,,,212.0,,,
1186,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,324.0,,7.8,204.0,,,,,,,,212.0,,,
1187,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,20.0,573.0,,,,,136.0,100.0,5.0,
1188,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,100.0,486.0,,,,,136.0,100.0,5.0,
1189,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,200.0,378.0,,,,,136.0,100.0,5.0,
1190,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,300.0,314.0,,,,,136.0,100.0,5.0,
1191,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,400.0,232.0,,,,,136.0,100.0,5.0,
1192,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,600.0,222.0,,,,,136.0,100.0,5.0,
1193,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,800.0,210.0,,,,,136.0,100.0,5.0,
1194,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,1000.0,160.0,,,,,136.0,100.0,5.0,
1195,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,20.0,1152.0,,,,,120.0,180.0,5.0,
1196,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,200.0,740.0,,,,,120.0,180.0,5.0,
1197,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,100.0,740.0,,,,,120.0,180.0,5.0,
1198,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,20.0,1210.0,,,,,179.0,80.0,5.0,
1199,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,60.0,1071.0,,,,,179.0,80.0,5.0,
